,enota,okraj,id,naslov
641,VE 1000 - KRANJ,VO 1006 - KRANJ 3,38,"Sp. Jezersko, Gostilna Kanonir, Sp. Jezersko 5"
642,VE 1000 - KRANJ,VO 1006 - KRANJ 3,39,"Zg. Jezersko, Korotan, Zgornje Jezersko 57"
643,VE 1000 - KRANJ,VO 1006 - KRANJ 3,40,"Hotemaže, Vaški gasilski dom, Hotemaže 80"
739,VE 1000 - KRANJ,VO 1007 - TRŽIČ,1,"Bistrica I, OŠ Bistrica, Begunjska c. 2, Tržič"
740,VE 1000 - KRANJ,VO 1007 - TRŽIČ,2,"Bistrica II, OŠ Bistrica, Begunjska c. 2, Tržič"
741,VE 1000 - KRANJ,VO 1007 - TRŽIČ,3,"Brezje, Dom krajanov, Brezje pri Tržiču 55, Tržič"
742,VE 1000 - KRANJ,VO 1007 - TRŽIČ,4,"Jelendol, Dom krajanov, Jelendol 8, Tržič"
743,VE 1000 - KRANJ,VO 1007 - TRŽIČ,5,"Kovor, Krajevna skupnost, Glavna cesta 24, Tržič"
744,VE 1000 - KRANJ,VO 1007 - TRŽIČ,6,"Križe, OŠ Križe, C. Kokrškega odreda 16, Križe"
745,VE 1000 - KRANJ,VO 1007 - TRŽIČ,7,"Leše, Gasilski dom Leše, Leše 3, Tržič "
746,VE 1000 - KRANJ,VO 1007 - TRŽIČ,8,"Lom pod Storž., Dom krajanov, Lom pod Storžičem 56"
747,VE 1000 - KRANJ,VO 1007 - TRŽIČ,9,"Podljubelj, Dom krajanov, Podljubelj 242, Tržič "
748,VE 1000 - KRANJ,VO 1007 - TRŽIČ,10,"Pristava, Fundacija V. Drakslerja, Pristavška 16"
749,VE 1000 - KRANJ,VO 1007 - TRŽIČ,11,"Ravne, KS Ravne, Pot na Zali Rovt 3, Tržič"
750,VE 1000 - KRANJ,VO 1007 - TRŽIČ,12,"Sebenje, Dom krajanov, Sebenje 43, Križe"
751,VE 1000 - KRANJ,VO 1007 - TRŽIČ,13,"Senično, Krajevna skupnost, Senično 30, Križe   "
752,VE 1000 - KRANJ,VO 1007 - TRŽIČ,14,"Tržič I,Galerija Atrij Občine Tržič,Trg svobode18"
753,VE 1000 - KRANJ,VO 1007 - TRŽIČ,15,"Tržič II, Društvo upokojencev Tržič,Trg svobode18"
849,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,1,"Krajevna skupnost Godešič, Godešič 100, Šk. Loka"
850,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,2,"Gasilski dom Virmaše, Virmaše 14, Škofja Loka"
851,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,3,"Kulturni dom Sv. Duh, Sv. Duh 10, Škofja Loka"
852,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,4,"OŠ Škofja Loka-Mesto, Šolska ulica 1, Šk. Loka"
853,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,5,"Prostori Društva upokojencev,Partizanska c.1,Š.L."
854,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,6,"Zdravstveni dom Šk. Loka, Stara cesta 10, Šk.Loka"
855,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,7,"Osnovna šola Reteče, Reteče 43, Škofja Loka"
856,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,8,"OŠ Cvetko Golar I., Frankovo naselje 51, Šk. Loka"
857,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,9,"OŠ Cvetko Golar II., Frankovo naselje 51,Šk.Loka"
858,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,10,"OŠ Cvetko Golar III., Frankovo naselje 51,Šk.Loka"
859,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,11,"Gasilski dom Gosteče, Gosteče 10, Škofja Loka"
860,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,12,"OŠ Ivana Groharja, Podlubnik 1, Škofja Loka"
861,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,13,"Kapela Puštalskega gradu, Puštal 21, Škofja Loka"
862,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,14,"Puštalski grad, Puštal 21, Škofja Loka"
863,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,15,"Trgovina kmečki stroji, Sv. Barbara 23, Šk. Loka"
864,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,16,"Krajevna skupnost Podlubnik,Podlubnik 139, Šk. L."
865,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,18,"Tržnica Škofja Loka, Partizanska cesta 1, Šk.Loka"
866,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,20,"Zadružni dom Log nad Škofjo Loko, Log nad Šk.L.31"
867,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,21,"Šola Gabrk, Gabrk 1, Škofja Loka"
868,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,22,"Prostori Pri Kajbitu, Zminec 5, Škofja Loka"
869,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,23,"Krajevna skupnost Lenart, Sv. Lenart 21, Selca"
870,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,24,"Osnovna šola Bukovščica, Bukovščica 4, Selca"
871,VE 1000 - KRANJ,VO 1008 - ŠKOFJA LOKA 1,25,"Osnovna šola Bukovica, Bukovica 20, Selca"
967,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,1,"RUŽV TODRAŽ - nova stavba, Todraž 22, Gorenja vas"
968,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,2,"Sokolski dom GORENJA VAS-mala dvorana,Poljan.c.87"
969,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,3,"Gasilski dom HOTAVLJE, Hotavlje 112, Gorenja vas"
970,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,4,"Osnovna šola LESKOVICA, Leskovica 1, Gorenja vas"
971,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,5,"Osnovna šola JAVORJE,Javorje 6,Poljane nad Šk. L."
972,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,6,"Kulturni dom LUČINE, Lučine 11a, Gorenja vas"
973,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,7,"Gasilski dom TREBIJA, Trebija 4, Gorenja vas"
974,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,8,"Stavba ob župnišču v STARI OSELICI,St.Oselica 33"
975,VE 1000 - KRANJ,VO 1009 - ŠKOFJA LOKA 2,9,"KD Poljane, Poljane nad Škofjo Loko 77, Poljane"
