,address,lat,lon
447,Vaški dom Hrastovlje ,46.1199444,14.8153333
448,Prkičeva hiša Podpeč ,46.1199444,14.8153333
449,Dvorana Bezovica ,46.1199444,14.8153333
450,Pomožni objekt Loka ,46.1199444,14.8153333
451,Pomožni objekt Predloka,46.1199444,14.8153333
452,Kulturni dom Dekani ,46.1199444,14.8153333
453,Kulturni dom Dekani ,46.1199444,14.8153333
454,Kulturni dom Gračišče ,46.1199444,14.8153333
455,Dvorana Kubed ,46.1199444,14.8153333
456,Gasilski dom Movraž,46.1199444,14.8153333
457,Zadružni dom Sočerga,46.1199444,14.8153333
458,Lovski dom Trebeše ,46.1199444,14.8153333
459,Stara šola Pregara,46.1199444,14.8153333
460,Stara šola Hrvoji,46.1199444,14.8153333
461,Dom krajanov Brezovica,46.1199444,14.8153333
462,Gasilski dom Hrvatini,46.1199444,14.8153333
463,Gasilski dom Hrvatini,46.1199444,14.8153333
464,Zadružni dom Marezige ,46.1199444,14.8153333
465,Vaški dom Trsek ,46.1199444,14.8153333
466,Dvorana Babiči ,46.1199444,14.8153333
467,Kulturni dom Lopar ,46.1199444,14.8153333
468,Stara šola Truške ,46.1199444,14.8153333
469,Narodni dom  Pobegi,46.1199444,14.8153333
470,Zadružni dom Pobegi ,46.1199444,14.8153333
471,OŠ Elvire Vatovec - podružnica Sv. Anton,46.1199444,14.8153333
472,Zadružni dom Kondor Vanganel ,46.1199444,14.8153333
473,Srednja tehniška šola Koper,46.1199444,14.8153333
474,Srednja tehniška šola Koper,46.1199444,14.8153333
475,Srednja tehniška šola Koper,46.1199444,14.8153333
476,OŠ Oskarja Kovačiča Škofije,46.1199444,14.8153333
477,OŠ Oskarja Kovačiča Škofije,46.1199444,14.8153333
